# Name                    SName     OName                  RAJ2000  DEJ2000  Discovery SpTypeopt r_SpTypeopt SpTypeir r_SpTypeir spt_adop spt_flt Binary  Variable Non-var Program AORKEY                              Module          ExpTime         ObsDate                          PI                 SNR6um SNR12um Publication   CH4obs e_CH4obs r_CH4obs W3obs  e_W3obs CH4syn e_CH4syn W3syn  e_W3syn Water e_Water Methane e_Methane Ammonia e_Ammonia Silicate e_Silicate Inclination ed_Inclination eu_Inclination Inc_ref   Jmag   e_Jmag Hmag   e_Hmag Kmag   e_Kmag W1mag  e_W1mag W2mag  e_W2mag W3mag  e_W3mag W4mag e_W4mag CH1   eCH1 CH2   eCH2 CH3   eCH3 CH4   eCH4 IRAC_Ref            Period ePeriod Period_ref                AJ(%) e_AJ A3.6(%) e_A3.6 A4.5(%) e_A4.5 ref             parallax eparallax parallax_ref          SpeX Silicate_SM23 e_Silicate_SM23 excess_Si_SM23 e_excess_Si_SM23
  2MASSJ01443536-0716142  0144-0716 ""                     26.1475  -7.2706  Lieb03    L5        Lieb03      L5       Maro13     L5       85.0    ""      Koen13   ""      3136    10363136                            SL2,SL1         12,12,0,0       2005-01-15                       Cruz,Kelle         24     5       Suar22        ""     ""       ""       10.883 0.1     11.063 0.089    ""     ""      1.05  0.02    0.57    0.02      1.0     0.04      1.46     0.06       ""          ""             ""             ""        14.191 0.026  13.008 0.029  12.268 0.023  11.603 0.024   11.361 0.022   10.948 0.089   8.928 ""      ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      Koen2013                  ""    ""   ""      ""     ""      ""     Vos+2020_table3 78.5     0.5       GaiaCollaboration2020 yes  1.29          0.05            0.18           0.05          
  2MASSJ02511490-0352459  0251-0352 ""                     42.8157  -3.8854  Cruz03    L3        Cruz03      L1       Wils03     L3       83.0    ""      ""       Koen13  3136    10364160                            SL2,SL1         6,6,0,0         2005-01-14                       Cruz,Kelle         25     5       Suar22        ""     ""       ""       10.437 0.078   10.686 0.087    ""     ""      1.11  0.02    0.56    0.02      1.13    0.04      1.16     0.06       ""          ""             ""             ""        13.059 0.027  12.254 0.024  11.662 0.019  11.148 0.023   10.851 0.021   10.42  0.067   8.825 0.382   ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 86.29    0.19      GaiaCollaboration2020 no   1.09          0.04            -0.03          0.04          
  2MASSJ02550357-4700509  0255-4700 ""                     43.7654  -47.0143 Mart99    L8        Kirk08      L9       Burg06b    L8       88.0    ""      Mora06   ""      51      4192000                             SL2,SL1,LL2,LL1 8,8,8,16        2004-01-07                       Houck,JamesR.      54     35      Roel04        9.61   0.01     Patt06   9.142  0.027   9.622  0.027    9.176  0.035   1.33  0.03    1.03    0.02      1.09    0.02      0.84     0.05       ""          ""             ""             ""        13.246 0.027  12.204 0.024  11.558 0.024  10.725 0.022   10.171 0.021   9.163  0.025   8.684 0.276   10.29 0.02 10.2  0.02 9.89  0.01 9.61  0.01 Patten_etal2006     7.4    ""      Morales-Calderon_etal2006 ""    ""   ""      ""     ""      ""     Vos+2020_table3 205.43   0.19      GaiaCollaboration2020 yes  0.77          0.02            -0.07          0.02          
  2MASSJ03552337+1133437  0355+1133 ""                     58.8474  11.5622  Reid06    L5gamma   Cruz09      L4.8     Bard14     L5gamma  85.0    Bern10  Vos22    ""      50059   25365504                            SL2,SL1         48,48,0,0       2008-10-10                       Burgasser,AdamJ.   142    40      Fili15,Suar22 ""     ""       ""       9.219  0.035   9.437  0.02     ""     ""      1.0   0.01    0.55    0.01      1.05    0.01      1.35     0.03       50          2              2              This_work 14.05  0.024  12.53  0.031  11.526 0.021  10.528 0.023   9.943  0.021   9.294  0.038   8.317 ""      ""    ""   ""    ""   ""    ""   ""    ""   ""                  9.53   0.19    Vos_etal2022              ""    ""   0.26    0.02   ""      ""     Vos_etal2022    109.14   0.48      GaiaCollaboration2020 no   1.29          0.02            0.19           0.02          
  2MASSJ04151954-0935066  0415-0935 ""                     63.8386  -9.5835  Burg02    T8        Burg03d     T8       Burg06b    T8       98.0    ""      ""       Radi14  3431    10975232,10975488,12238080,12238848 SL2,SL1         288,288,0,0     2005-09-06,2005-09-07,2005-09-12 Leggett,SandyK.    18     44      Saum07        12.11  0.05     Patt06   11.093 0.125   12.011 0.044    ""     ""      1.58  0.14    3.85    0.23      1.56    0.11      0.61     0.09       ""          ""             ""             ""        15.695 0.058  15.537 0.113  15.429 0.201  15.108 0.041   12.261 0.026   11.132 0.113   8.638 ""      14.1  0.03 12.29 0.02 12.87 0.07 12.11 0.05 Patten_etal2006     ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 175.2    1.7       Dupuy-Liu2012         yes  0.42          0.03            -0.01          0.03          
  2MASSJ04234858-0414035  0423-0414 ""                     65.9524  -4.2342  Geba02    L7.5      Cruz03      T0       Burg06b    L7.5     87.5    Burg05b Kao18    ""      51      4195584,12495360                    SL2,SL1,LL2,LL1 24,32,8,16      2004-02-06,2005-09-12            Houck,JamesR.      30     14      Cush06        11.01  0.03     Patt06   10.558 0.089   11.026 0.044    10.62  0.089   1.27  0.03    1.03    0.02      1.1     0.02      0.88     0.05       79          16             11             Vos+2017  14.465 0.027  13.463 0.035  12.929 0.034  12.176 0.024   11.578 0.024   10.569 0.079   8.987 0.46    11.73 0.02 11.58 0.02 11.3  0.01 11.01 0.03 Patten_etal2006     1.47   0.13    Kao_etal2018              0.8   0.08 ""      ""     ""      ""     Vos+2020_table3 71.1     0.8       Dupuy-Liu2017         yes  0.81          0.03            -0.08          0.03          
  2MASSJ04291842-3123568  0429-3123 ""                     67.3269  -31.3991 Cruz03    M7.5      Cruz03      ""       ""         M7.5     77.5    ""      ""       ""      3136    10364928                            SL2,SL1         6,6,0,0         2005-02-10                       Cruz,Kelle         73     26      Suar22        ""     ""       ""       9.067  0.028   9.223  0.026    ""     ""      1.04  0.01    0.67    0.01      1.16    0.02      1.09     0.04       ""          ""             ""             ""        10.874 0.024  10.211 0.024  9.77   0.022  9.515  0.023   9.324  0.02    9.086  0.025   8.667 ""      ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 58.79    0.14      GaiaCollaboration2020 no   0.96          0.03            0.01           0.03          
  2MASSJ04390101-2353083  0439-2353 ""                     69.7542  -23.8857 Cruz03    L6.5      Cruz03      L6       Burg10     L6.5     86.5    ""      ""       Koen13  3136    10365184                            SL2,SL1         14,14,0,0       2005-02-18                       Cruz,Kelle         20     8       Fili15,Suar22 11.28  0.09     Fili15   11.074 0.121   11.268 0.079    ""     ""      1.24  0.03    0.71    0.02      1.06    0.03      1.12     0.08       ""          ""             ""             ""        14.408 0.029  13.409 0.029  12.816 0.023  12.039 0.023   11.678 0.023   11.116 0.106   8.978 ""      ""    ""   ""    ""   ""    ""   11.28 0.09 Filippazzo_etal2015 ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 80.73    0.36      GaiaCollaboration2020 yes  0.98          0.04            -0.01          0.04          
  2MASSJ04455387-3048204  0445-3048 ""                     71.4746  -30.8057 Cruz03    L2        Cruz03      ""       ""         L2       82.0    ""      ""       Koen13  3136    10365440                            SL2,SL1         12,12,0,0       2005-03-14                       Cruz,Kelle         20     8       Fili15,Suar22 10.98  0.07     Fili15   10.709 0.08    10.982 0.071    ""     ""      1.04  0.02    0.7     0.02      1.15    0.04      1.1      0.07       ""          ""             ""             ""        13.393 0.026  12.58  0.024  11.975 0.021  11.573 0.024   11.333 0.023   10.746 0.074   9.183 ""      ""    ""   ""    ""   ""    ""   10.98 0.07 Filippazzo_etal2015 ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 61.94    0.15      GaiaCollaboration2020 no   1.0           0.04            -0.07          0.04          
  2MASSJ05012406-0010452  0501-0010 ""                     75.3504  -0.1793  Reid08    L4gamma   Cruz09      L3       Alle13     L4gamma  84.0    ""      Vos20    ""      50059   25363968                            SL2,SL1         62,64,0,0       2008-11-12                       Burgasser,AdamJ.   43     9       Fili15        11.03  0.03     Luhm09   10.746 0.106   11.369 0.052    ""     ""      1.01  0.02    0.46    0.03      1.04    0.04      1.45     0.19       60          9              20             Vos+2020  14.982 0.038  13.713 0.034  12.963 0.035  12.05  0.024   11.518 0.022   10.952 0.107   9.165 ""      11.77 0.02 11.52 0.02 11.22 0.03 11.03 0.03 Luhman_etal2009     15.7   0.2     Vos_etal2020              2.0   1.0  0.36    0.04   0.24    0.04   Vos+2020_table3 47.77    0.76      GaiaCollaboration2020 no   1.35          0.08            0.2            0.08          
  2MASSJ05233822-1403022  0523-1403 ""                     80.9093  -14.0506 Cruz03    L2.5      Cruz03      L5       Wils03     L2.5     82.5    ""      ""       Koen13  3136    10365696                            SL2,SL1         6,6,0,0         2005-03-12                       Cruz,Kelle         26     7       Fili15,Suar22 10.7   0.08     Fili15   10.375 0.071   10.697 0.075    ""     ""      1.13  0.01    0.61    0.03      1.14    0.06      1.19     0.11       ""          ""             ""             ""        13.084 0.024  12.22  0.022  11.638 0.027  11.156 0.023   10.864 0.02    10.498 0.072   8.913 ""      ""    ""   ""    ""   ""    ""   10.7  0.08 Filippazzo_etal2015 ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 78.53    0.15      GaiaCollaboration2020 no   1.1           0.05            0.0            0.05          
  2MASSJ05325346+8246465  0532+8246 ""                     83.2268  82.7792  Burg03c   sdL7      Burg07      sdL      Burg03c    sdL7     87.0    ""      ""       ""      51      12497408                            SL2,SL1         16,16,0,0       2005-03-23                       Houck,JamesR.      6      1       Suar22        13.03  0.1      Patt06   12.367 ""      13.575 0.367    ""     ""      1.18  0.05    0.47    0.06      1.09    0.17      1.08     0.21       ""          ""             ""             ""        15.179 0.059  14.904 0.092  14.918 0.146  13.801 0.026   13.25  0.03    12.555 ""      9.276 ""      13.37 0.03 13.22 0.02 13.23 0.1  13.03 0.1  Patten_etal2006     ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 40.71    0.46      GaiaCollaboration2020 no   0.86          0.12            -0.08          0.12          
  2MASSJ05395200-0059019  0539-0059 ""                     84.9667  -0.9837  Fan00     L5        Fan00       L5       Knap04     L5       85.0    ""      ""       Koen13  51      4190720                             SL2,SL1,LL2,LL1 16,16,8,8       2004-03-23                       Houck,JamesR.      28     8       Cush06,Suar22 11.2   0.04     Patt06   11.716 0.288   11.204 0.069    11.17  0.091   1.35  0.03    0.67    0.04      0.94    0.05      1.05     0.19       ""          ""             ""             ""        14.033 0.031  13.104 0.026  12.527 0.024  11.869 0.023   11.578 0.021   11.411 ""      8.419 ""      11.49 0.02 11.6  0.02 11.35 0.03 11.2  0.04 Patten_etal2006     ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 78.95    0.36      GaiaCollaboration2020 yes  1.1           0.09            -0.0           0.09          
  2MASSJ05591914-1404488  0559-1404 ""                     89.83    -14.0803 Burg00    T5        Burg03d     T4.5     Burg06b    T4.5     94.5    ""      Radi14   ""      51      4183296,4183040                     SL2,SL1,LL2,LL1 32,32,8,16      2004-03-23,2005-03-17            Houck,JamesR.      17     13      Cush06        11.42  0.02     Patt06   10.605 0.089   11.387 0.076    10.55  0.113   1.17  0.05    2.1     0.1       1.32    0.04      0.71     0.08       ""          ""             ""             ""        13.802 0.024  13.679 0.044  13.577 0.052  13.386 0.025   11.904 0.023   11.025 0.172   9.058 ""      12.67 0.03 11.93 0.02 11.73 0.02 11.42 0.02 Patten_etal2006     10.0   ""      Radigan_etal2014          0.7   0.5  ""      ""     ""      ""     Vos+2020_table3 97.28    0.59      Dahn_etal2017         yes  0.54          0.03            0.02           0.03          
  2MASSJ06244595-4521548  0624-4521 ""                     96.1914  -45.3652 Reid08    L5        Reid08      L6.5     Schn14     L5       85.0    ""      Buen14   ""      3136    10365952                            SL2,SL1         14,14,0,0       2005-03-20                       Cruz,Kelle         28     12      Fili15,Suar22 10.97  0.07     Fili15   10.76  0.072   10.968 0.06     ""     ""      1.12  0.02    0.68    0.01      1.05    0.03      1.23     0.06       ""          ""             ""             ""        14.48  0.029  13.335 0.028  12.595 0.026  11.83  0.023   11.478 0.021   10.866 0.067   9.526 ""      ""    ""   ""    ""   ""    ""   10.97 0.07 Filippazzo_etal2015 ""     ""      Buenzli_etal2014          ""    ""   ""      ""     ""      ""     Vos+2020_table3 82.02    0.36      GaiaCollaboration2020 yes  1.17          0.04            0.07           0.04          
  2MASSJ07003664+3157266  0700+3157 ""                     105.153  31.9571  Thor03    L3.5      Thor03      ""       ""         L3.5     83.5    Reid06  Mile17   ""      3136    10366208                            SL2,SL1         6,6,0,0         2005-04-21                       Cruz,Kelle         32     8       Fili15,Suar22 9.98   0.06     Fili15   9.717  0.051   9.954  0.063    ""     ""      1.16  0.01    0.7     0.01      1.1     0.03      1.05     0.05       ""          ""             ""             ""        12.923 0.023  11.947 0.016  11.317 0.023  10.683 0.024   10.377 0.021   9.715  0.042   8.683 ""      ""    ""   ""    ""   ""    ""   9.98  0.06 Filippazzo_etal2015 3.79   1.3     Miles-Paez_etal2017b      ""    ""   ""      ""     ""      ""     Vos+2020_table3 89.02    0.37      GaiaCollaboration2020 no   1.02          0.04            -0.11          0.04          
  2MASSJ07271824+1710012  0727+1710 ""                     111.8298 17.1643  Burg02    T8        Burg03d     T7       Burg06c    T7       97.0    ""      ""       Gira13  20544   14825472                            SL2,SL1         120,120,0,0     2006-04-18                       Burgasser,AdamJ.   11     13      Suar22        12.64  0.11     Patt06   11.924 0.309   12.64  0.108    ""     ""      1.12  0.06    2.67    0.16      1.51    0.06      0.66     0.13       ""          ""             ""             ""        15.6   0.061  15.756 0.171  15.556 0.194  15.238 0.047   12.962 0.033   11.901 0.281   8.327 ""      14.41 0.02 13.01 0.01 13.24 0.06 12.64 0.11 Patten_etal2006     ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 112.5    0.9       Dupuy-Liu2012         yes  0.47          0.03            0.0            0.03          
  2MASSJ07464256+2000321  0746+2000 ""                     116.6754 20.0087  Reid00    L0.5      Kirk00      L1       Knap04     L0.5     80.5    Reid01  Hard13   ""      51      4186624                             SL2,SL1,LL2,LL1 16,16,4,4       2004-03-27                       Houck,JamesR.      60     32      Cush06,Suar22 9.57   0.01     Patt06   9.402  0.042   9.555  0.022    9.428  0.038   1.08  0.02    0.65    0.01      1.1     0.02      1.09     0.03       ""          ""             ""             ""        11.759 0.02   11.007 0.022  10.468 0.022  10.125 0.022   9.864  0.021   9.448  0.04    8.813 ""      9.86  0.02 9.9   0.04 9.72  0.01 9.57  0.01 Patten_etal2006     3.32   0.15    Harding_etal2013          ""    ""   ""      ""     ""      ""     Vos+2020_table3 81.24    0.25      Harris_etal2015       yes  0.95          0.02            -0.01          0.02          
  2MASSJ07584037+3247245  0758+3247 ""                     119.667  32.7886  Knap04    T3        Pine16      T2       Burg06b    T2       92.0    ""      Radi14   ""      3431    10978304                            SL2,SL1         16,16,0,0       2004-10-24                       Leggett,SandyK.    21     12      Step09        11.33  0.05     Legg07   10.67  0.099   11.298 0.059    ""     ""      1.17  0.07    1.09    0.08      0.98    0.04      0.74     0.15       ""          ""             ""             ""        14.947 0.045  14.111 0.042  13.879 0.057  13.081 0.025   12.158 0.025   10.73  0.092   8.657 ""      12.41 0.03 12.13 0.03 11.71 0.03 11.33 0.05 Leggett_etal2007    4.9    0.2     Radigan_etal2014          4.8   0.2  ""      ""     ""      ""     Vos+2020_table3 91.93    1.74      GaiaCollaboration2020 yes  0.64          0.06            0.02           0.06          
  2MASSJ08053189+4812330  0805+4812 ""                     121.3827 48.2091  Hawl02    L4        Hawl02      L9       Knap04     L4       84.0    Dupu12  ""       Gira13  3431    10979328                            SL2,SL1         16,72,0,0       2004-10-23                       Leggett,SandyK.    14     9       Step09        12.1   0.03     Legg07   11.916 0.328   12.233 0.083    ""     ""      1.14  0.06    0.84    0.03      1.02    0.05      1.19     0.13       ""          ""             ""             ""        14.734 0.036  13.917 0.041  13.444 0.041  12.879 0.024   12.451 0.025   11.868 0.224   9.028 ""      12.44 0.03 12.43 0.03 12.32 0.03 12.1  0.03 Leggett_etal2007    ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 42.59    0.98      GaiaCollaboration2020 yes  1.11          0.07            -0.05          0.07          
  2MASSJ08251968+2115521  0825+2115 ""                     126.3317 21.2643  Kirk00    L7.5      Kirk00      L6       Knap04     L7.5     87.5    ""      Metc15   ""      51      4191232,12497152                    SL2,SL1,LL2,LL1 32,32,4,4       2004-04-20,2005-11-15            Houck,JamesR.      28     8       Cush06        10.93  0.02     Patt06   10.509 0.096   10.928 0.072    10.577 0.133   1.19  0.02    0.69    0.02      1.05    0.03      1.05     0.09       ""          ""             ""             ""        15.1   0.034  13.792 0.032  13.028 0.026  12.083 0.023   11.565 0.021   10.392 0.072   9.027 0.485   11.7  0.03 11.59 0.01 11.16 0.01 10.93 0.02 Patten_etal2006     7.6    ""      Metchev_etal2015          ""    ""   0.81    0.08   1.4     0.3    Vos+2020_table3 93.19    0.59      Dahn_etal2017         yes  1.11          0.05            0.22           0.05          
  2MASSJ08294949+2646348  0829+2646 GJ1111,LHS248          127.4556 26.776   Boes76    M6.5      Kirk91      ""       ""         M6.5     76.5    ""      ""       ""      29      3876096                             SL2,SL1         0.4,0.4,0,0     2004-04-20                       Houck,JamesR.      64     26      Cush06        6.74   0.01     Patt06   6.618  0.016   6.713  0.028    ""     ""      1.07  0.01    0.7     0.01      1.17    0.02      1.05     0.03       ""          ""             ""             ""        8.235  0.021  7.617  0.018  7.26   0.024  11.491 0.023   11.472 0.024   11.613 0.212   8.737 ""      6.84  0.02 6.84  0.04 6.76  0.05 6.74  0.01 Patten_etal2006     ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 279.25   0.06      GaiaCollaboration2020 no   0.94          0.04            -0.0           0.04          
  2MASSJ08300825+4828482  0830+4828 ""                     127.5274 48.4765  Geba02    L8        Kirk08      L9       Geba02     L8       88.0    ""      ""       ""      3136    13375744                            SL2,SL1         16,16,0,0       2005-03-24                       Cruz,Kelle         3      2       Suar22        ""     ""       ""       11.598 0.256   13.035 0.324    ""     ""      1.38  0.13    1.57    0.2       1.27    0.13      0.61     0.21       ""          ""             ""             ""        14.206 0.026  13.848 0.026  13.75  0.038  12.915 0.023   12.461 0.026   11.713 0.206   9.05  ""      ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 80.63    2.11      GaiaCollaboration2020 yes  0.6           0.06            -0.23          0.06          
